국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,33,48,77,35,40,24,36,117,51
그레나다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,14,-,-,-,12
과테말라,96,22,147,75,124,104,-,110,96,191,104,39,86,65,105,51,52,50,30,50,84
가이아나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,10,21,6,-,10
아이티,-,19,15,10,13,11,30,37,24,24,10,35,-,-,-,-,-,-,-,-,21
온두라스,63,238,47,173,16,85,11,30,31,46,81,151,136,132,94,69,53,54,88,85,84
자메이카,20,69,69,72,-,-,43,-,-,-,-,48,20,42,28,74,5,2,2,1,35
니카라과,136,-,-,-,-,-,-,-,-,-,-,61,68,72,62,-,-,-,-,-,80
파나마,15,-,-,-,91,228,238,231,310,392,378,321,325,266,166,78,13,4,147,133,196
파라과이,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
페루,308,537,550,545,505,388,306,327,359,385,365,385,431,287,332,362,403,510,625,713,431
세인트루시아,-,7,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-,20
세인트빈센트그레나딘,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,8,2,6
트리니다드토바고,-,-,17,-,-,-,81,64,90,-,-,-,57,34,39,33,60,66,26,68,53
우루과이,140,-,55,94,86,-,-,-,64,17,29,13,22,-,31,19,-,27,-,-,50
베네수엘라,756,-,781,328,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478
알바니아,6,49,87,201,390,395,116,420,541,402,349,21,-,9,5,10,5,10,12,2,159
안도라,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,11,7
오스트리아,1217,1385,1564,1360,961,938,1564,1237,1301,1102,1130,1198,1439,1256,962,1356,1135,1102,1189,1112,1225
벨라루스,537,529,682,1061,861,955,1130,1379,1252,1297,1222,1474,1291,1117,1938,902,949,861,627,461,1026
벨기에,822,839,508,629,715,708,548,519,526,364,532,541,795,745,373,567,1620,1016,1019,998,719
보스니아-헤르체고비나,-,-,-,21,14,46,272,-,127,-,173,115,57,31,5,-,12,4,5,2,63
불가리아,481,425,376,389,299,313,317,264,268,242,251,128,101,125,72,37,42,77,181,195,229
크로아티아,379,221,187,177,135,140,183,147,138,154,82,184,155,159,90,45,35,20,21,20,134
체코,1611,1719,1454,1831,1514,1551,1324,1203,1280,1293,911,687,668,611,688,749,781,669,512,509,1078
덴마크,405,370,465,513,784,389,162,221,225,211,155,110,190,309,292,430,409,419,322,501,344
에스토니아,84,257,349,261,198,163,189,185,172,132,120,129,116,78,38,24,27,15,14,5,128
핀란드,1939,2047,2055,2414,2075,1757,1059,921,997,1055,923,841,836,711,787,931,815,704,533,505,1195
프랑스,11274,11347,9998,11587,11836,11473,13788,12112,10811,10529,9899,10213,12913,11405,11889,12699,12374,11865,12249,13593,11693
독일,14707,14351,14860,17434,16661,17063,21034,17739,17308,14435,13678,11719,11332,13858,15030,14795,15652,15653,16367,18255,15597
그리스,210,246,354,306,354,320,303,368,444,442,479,364,291,282,316,262,271,261,240,248,318
헝가리,1605,1445,1278,1421,977,1126,1089,637,551,415,65,445,477,1351,376,365,271,155,156,135,717
아이슬란드,16,42,42,80,69,101,112,138,163,79,139,67,47,43,54,17,22,36,16,9,65
아일랜드,393,216,156,360,326,226,167,144,108,191,87,114,101,116,69,48,64,60,52,48,152
이탈리아,5285,4871,6209,6523,4763,5534,5560,6508,7318,18277,16106,6380,5625,8114,7795,7153,6429,4855,6424,8617,7417
라트비아,163,181,177,168,135,122,120,122,178,202,184,180,154,136,141,147,68,87,51,52,138
리투아니아,148,128,104,109,98,116,89,69,75,84,84,96,92,93,120,133,103,143,92,112,104
룩셈부르크,63,98,44,89,-,29,55,46,34,55,87,65,112,-,152,153,184,487,423,326,139
북마케도니아,74,62,48,126,106,373,463,524,336,334,406,392,520,378,-,-,-,-,-,-,296
몰타,89,97,125,-,298,-,653,317,299,34,4,1,11,15,4,10,6,6,7,23,111
몰도바,234,226,230,241,256,269,288,268,250,290,132,63,51,61,54,61,70,62,79,57,162
모나코,14,19,22,9,11,9,5,16,14,8,5,13,6,5,5,8,9,10,28,4,11
네덜란드,2820,2975,2743,2557,2372,2373,2361,2319,2058,1948,1947,2042,1895,2029,1722,1377,1914,2307,1972,1936,2183
노르웨이,2412,2448,520,487,318,542,518,1774,1631,1642,1631,1612,1310,1430,1413,1446,2525,2147,1548,1211,1428
폴란드,2463,2022,2262,1748,1794,2522,2686,3534,3590,3958,3004,3112,2484,2804,2852,2572,3548,2904,2980,3042,2794
포르투갈,139,194,50,221,204,231,125,187,165,146,140,145,112,130,97,76,38,55,69,80,130
루마니아,1137,893,809,932,1100,759,787,684,689,681,447,430,384,451,356,305,355,407,363,357,616
러시아,17592,16292,18105,24758,23191,23390,23299,23028,28808,34824,30322,29999,32880,31638,33950,34706,33536,34254,35774,34008,28218
산마리노,-,-,-,-,-,-,-,-,-,-,-,-,-,160,201,290,467,624,686,753,454
슬로바키아,894,1043,71,704,555,560,543,574,566,554,376,317,161,115,94,82,122,82,109,91,381
슬로베니아,262,282,294,294,260,285,228,231,207,246,250,318,-,-,-,-,-,-,232,-,261
스페인,2208,2242,1333,1942,2034,2769,2165,2667,2277,2602,2773,2812,2720,3004,3235,2561,2308,2011,1760,1272,2335
스웨덴,2126,2265,2607,2950,3232,1911,1490,1287,1224,1248,1380,1039,999,685,588,889,866,1031,1063,920,1490
스위스,877,1276,959,764,751,-,948,737,787,969,741,368,455,534,677,687,617,771,614,615,745
우크라이나,5772,11670,9178,11046,-,3719,3705,-,3832,4002,3874,4061,3405,3635,3319,3014,2813,2590,2469,2255,4687
영국,8253,7555,8636,9755,10541,10159,7907,5930,5360,5428,5594,7173,6864,5235,4986,5464,5602,6311,5982,5948,6934
유고슬라비아,3,42,132,179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89
몬테네그로,-,-,-,-,-,-,-,-,-,-,264,406,291,121,14,10,8,-,11,7,126
세르비아,-,-,-,-,175,265,173,278,290,411,427,179,167,136,105,86,68,47,44,59,182
알제리,80,91,200,279,305,443,479,214,246,618,1076,1546,352,183,281,353,383,256,162,140,384
보츠와나,-,-,-,-,-,-,-,-,-,-,-,6,1,3,-,4,3,4,-,-,4
부룬디,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,13,6,27,28,-,13
카보베르데,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
이집트,453,430,757,638,325,147,130,300,364,321,321,483,634,465,415,472,450,581,690,747,456
에티오피아,4,16,14,2,1,9,6,13,-,-,-,6,2,2,6,6,11,6,10,-,7
감비아,1,3,8,7,3,2,7,7,-,-,-,-,-,-,-,2,2,4,-,16,5
가나,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,5,9,-,13
케냐,-,-,7,20,15,48,29,17,42,87,54,59,76,71,53,24,26,43,26,28,40
마다가스카르,-,51,15,48,26,32,28,25,34,27,55,41,44,40,24,23,19,23,31,15,32
말라위,1,-,2,2,-,-,-,-,-,-,1,1,4,3,-,1,7,-,-,-,2
모리셔스,-,-,-,-,-,-,-,2,-,3,8,2,6,5,9,4,2,4,7,4,5
모로코,-,-,313,-,1219,556,699,747,969,-,808,979,979,937,-,-,352,413,600,357,709
모잠비크,6,1,9,15,5,14,21,40,-,-,-,-,-,43,60,54,35,-,-,-,25
나미비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,28,16,4,30,20
나이지리아,-,-,-,-,-,-,-,-,-,-,-,595,528,645,-,-,886,552,842,-,675
르완다,7,12,2,3,2,3,4,20,-,-,-,-,24,-,-,-,-,176,-,75,30
상투메프린시페,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,8,-,4
세이셸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,29,11,-,16
남아프리카공화국,3399,2826,5150,5759,1803,1831,1440,1455,1742,1639,5331,5296,6205,4756,5065,4499,4255,5535,4746,6162,3945
수단,66,45,115,90,147,174,85,140,173,130,125,140,264,216,190,196,164,177,204,139,149
에스와티니,-,-,-,-,-,-,-,-,-,-,-,6,3,-,2,2,-,-,-,-,3
탄자니아,-,-,2,1,3,3,1,4,5,3,1,2,-,3,4,1,-,-,6,5,3
튀니지,257,178,103,155,269,338,456,492,546,555,620,674,613,535,552,589,583,555,451,-,448
우간다,1,-,-,1,7,-,1,2,2,2,-,1,1,3,1,-,-,2,2,-,2
잠비아,-,29,31,9,15,14,6,12,8,24,12,15,32,21,23,17,27,18,12,9,18
짐바브웨,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29
오스트레일리아,13548,13703,13612,13056,12739,10979,9426,11236,11863,12410,14557,17877,17724,17112,19304,23098,23744,22742,17065,17010,15640
뉴질랜드,4587,3539,2582,10124,5571,4189,3412,3592,3203,3412,4347,4710,6152,4752,4677,4259,3910,2430,2039,1642,4156
파푸아뉴기니,-,-,-,-,-,-,-,-,1,-,-,-,-,57,-,70,-,-,-,-,43
사모아,-,-,-,7,-,-,-,11,-,-,-,-,126,-,-,64,-,-,-,3,42
