국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,국가 평균
요르단,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,252.4,592.4,596,-,480.26666666666665
카자흐스탄,-,-,-,-,-,-,-,406.6,376.5,348.6,370.5,385.9,612.2,737.2,798.7,777.1,693.7,666.1,666.9,570.0
쿠웨이트,158.4,159.8,161.9,165.6,169.5,169.1,165.1,188.5,151.7,142.5,136,129.7,131.1,-,620.2,395.8,478.2,501.6,513.9,252.14444444444447
라오스,-,-,15.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.8
마카오,-,261,233.9,319.2,518.2,616.1,556.1,387.9,388.6,569.7,649.8,610.5,736.7,913.3,1031.5,1276.9,2648.3,3227.4,3543.2,1027.1277777777777
말레이시아,276.9,-,295.7,-,502.9,-,370,-,600.1,1067.5,1462.5,1648.9,1790.7,-,2054.2,2308,2396.5,-,-,1231.1583333333333
미얀마,-,12.2,17.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.1,-,19.599999999999998
네팔,-,-,60.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.7
오만,-,-,-,-,-,-,-,-,-,-,-,148.8,172.6,132.1,177.9,212.5,239.8,242.4,281.2,200.91250000000002
파키스탄,-,-,-,-,-,79.2,-,157,-,157.3,-,143,-,158.1,-,278.9,-,335.6,-,187.0142857142857
필리핀,-,-,53.7,70.6,-,79.9,-,77.8,-,81.2,-,84.1,-,186.9,-,105.7,-,-,-,92.4875
카타르,-,-,-,-,-,-,-,-,-,-,-,-,548,-,-,584,-,-,577.3,569.7666666666667
싱가포르,4128.4,4105.9,4414.8,4849.3,5113.3,5576.9,5686.4,5962.8,5829.3,6146.4,6241.9,6405.1,6356.7,6603.1,6632.2,7006.6,6934.9,6802.5,-,5822.027777777778
스리랑카,135.1,-,-,-,138.2,-,93.1,-,98.7,-,105.6,-,-,110.1,98.9,106,-,-,-,110.71249999999999
시리아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,-,-,-,91.0
태국,-,278.7,-,280.6,-,313.5,-,323.2,-,329,-,538.5,-,790.9,963.9,864.7,1208.5,1350.3,-,658.3454545454546
터키,365,353.7,368.3,494.2,505.5,576.4,620.5,713.8,750,809.8,889.6,981.8,1100.1,1173.2,1160.9,1211.8,1254.7,1379.4,-,817.1500000000001
아랍에미리트,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1980.5,2383.1,-,2378.9,2247.5
우즈베키스탄,662.3,614.6,630.4,588.3,578.4,632.8,565.7,556.9,580.4,573,545,574.8,513.1,507,501.2,497.4,506,495.6,476.2,557.8473684210527
베트남,-,-,114.4,-,-,-,-,-,-,-,-,-,-,679.5,-,678.6,-,707.7,-,545.05
캐나다,3527.5,3708.2,3719.3,3913.5,4098,4250.1,4323.1,4595.4,4715.4,4451.5,4646.3,4780.1,4627.5,4623.1,4541.8,4523.1,4369.6,4325.6,-,4318.83888888889
그린란드,-,536.2,539.7,647.2,701.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,606.2
멕시코,224.8,233.2,306.2,325.5,380.1,414.3,337.2,347.4,339.7,382.1,337.4,344.2,248.1,251.8,260.2,281.3,315.3,-,-,313.4588235294118
미국,3496.4,3567.4,3652.2,3894.9,3789.1,3742.5,3806.3,3781.2,3935.5,4090.3,3885.1,4027.1,3990.6,4090.9,4205.3,4267.8,4247.7,4412.4,-,3937.9277777777775
아르헨티나,716.6,688.3,692.2,718.5,765.6,819.4,891.8,974.7,1036,1035.6,1123.8,1180.7,1203.4,1198.3,1206.9,1230.5,1259.6,1192.2,-,996.3388888888888
볼리비아,71.3,122.4,119,-,-,-,-,-,-,143.9,163.8,-,-,-,-,-,-,-,-,124.08000000000001
브라질,295.2,337.4,398.4,423.2,483,509,543.2,555.1,590.7,625.5,686.1,737.7,788.5,838.5,887.7,-,-,-,-,579.9466666666667
칠레,-,-,-,-,-,-,-,335.8,356.7,287.8,318.8,352.7,390.7,335.4,427.1,455,493.5,493.3,-,386.07272727272726
콜롬비아,-,-,-,-,-,-,-,-,-,-,-,-,-,57.4,58.3,69.5,89.4,88,-,72.52000000000001
코스타리카,-,-,-,131.6,108.6,122.9,-,-,261,339.5,381.9,406.2,337.2,355.1,568.5,495.3,525.4,380.4,-,339.5076923076923
에콰도르,-,39.8,41.8,48.2,-,-,70.1,64.6,102.6,117.7,140.6,179.5,281.2,350.7,399.5,-,-,-,-,153.025
엘살바도르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.2,65.8,63.7,-,64.23333333333333
과테말라,-,-,-,-,-,29.6,24.3,34.1,38.6,38.7,24.8,24.8,26.9,17.4,20.3,22.2,22.1,14.1,-,25.992307692307698
온두라스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.4,-,34.7,-,28.55
파나마,94.4,89.3,94.3,94.7,84.7,103.3,105,165.6,131.7,110.1,-,118.2,37.7,39.1,-,-,-,-,-,97.54615384615384
파라과이,-,88.6,82.2,81.4,86.4,72,-,-,76.6,-,-,50,168.3,-,152.2,182.7,121.1,135.1,-,108.05
푸에르토리코,-,-,-,-,-,-,-,-,-,-,-,-,-,274,-,348.4,-,-,-,311.2
트리니다드토바고,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,517.3,-,517.3
우루과이,277.6,-,373.4,-,-,-,-,-,427.8,558.6,626.6,614.4,632.4,634.9,642.9,661.5,679,690.8,696.4,578.176923076923
베네수엘라,61.8,71.5,70.2,95.9,105.7,122.9,148.1,165.3,190.4,185.8,204,232.6,295.8,363.8,272.7,248.9,300.3,-,-,184.4529411764706
알바니아,-,-,-,-,-,-,-,-,155.5,-,-,-,-,-,-,-,-,-,-,155.5
오스트리아,-,-,2965.7,-,3158.8,3449.3,3524.1,3810,4136.9,4140.1,4349.7,4390.3,4669.4,4724.7,4947.9,5019.4,5224.4,5387.9,5733.1,4351.981250000001
벨기에,2970.2,3124,2958.8,2967.4,3091.6,3142.7,3284.4,3395,3411.8,3519.9,3732.8,3875.6,4113.3,4155.9,4528.9,4711,4780.5,4729.6,5023.3,3764.036842105264
보스니아-헤르체고비나,-,-,-,61.6,63.4,67.1,178.2,198,-,-,-,-,160.1,233.9,292.4,365.2,420,485.4,471.3,249.71666666666667
불가리아,1185.2,1162.2,1172.5,1228.7,1268.9,1307.8,1354.5,1478.6,1513,1601.4,1478.7,1613,1540.8,1683.8,1821.9,1977.3,2237.3,2125.2,2342.9,1583.878947368421
