룩셈부르크,-,-,-,-,-,-,-,-,-,-,-,-,-,1646,-,-,1949,2031,2227,2054,2201,2288,2396,2613,2831,2310,2503,2629,2610,2767,2936,2863,3158
네덜란드,19436,-,22040,-,24150,-,25500,-,26680,35535,38053,39081,41803,42194,45599,43875,43805,48402,47854,53150,51057,50727,46958,53703,61335,73235,82797,83710,83488,87612,91023,95475,99096
노르웨이,7498,7754,8283,8970,9692,-,11465,-,12156,-,17490,-,18295,-,19685,-,20547,20662,21200,22580,24351,25578,26273,26451,27228,27841,28312,29237,30632,31913,33632,34337,35897
폴란드,-,-,-,-,-,-,-,-,-,52474,55602,56179,56433,55174,56148,56725,58595,60944,62162,59573,61395,61805,61105,64511,64133,67001,71472,78622,82594,88165,114585,117789,120780
포르투갈,-,3963,4209,4455,5089,5723,6142,6561,7149,12621,13642,14697,15752,16738,17725,18984,20242,20684,21126,24651,28176,40408,39834,41523,44056,42498,37813,38155,38672,41349,44938,47652,50166
루마니아,-,-,-,-,-,-,-,-,-,30303,28431,27494,23473,20476,19726,20286,20965,21257,22958,19021,18808,19394,19271,19780,16080,18016,18576,18109,17459,18046,17518,17213,17350
러시아,-,-,-,-,-,-,-,-,-,562070,532469,492494,497030,506420,505778,491944,487477,477647,464577,464357,469076,451213,442263,442071,447579,443269,440581,444865,449180,428884,410617,405772,400663
슬로바키아,-,-,-,-,-,-,-,-,-,10010,9993,10145,9204,9955,9585,9181,9627,10718,10921,11776,12354,12587,13290,15183,15326,15271,14727,14742,14406,14149,15226,16337,16977
슬로베니아,-,-,-,-,-,-,-,-,-,4489,4022,4285,4427,4336,4498,4642,3775,4030,5253,5857,6250,7032,7446,7703,8774,8884,8707,8574,7900,8119,9301,10068,10502
스페인,19268,18782,19450,20506,21455,24525,26463,31170,32914,51633,53883,60269,61568,76670,80081,83318,92523,100994,109720,115798,122624,130986,133803,134653,130235,126778,123225,122235,122437,126633,133213,140120,143974
스웨덴,17896,-,19181,-,21899,-,22725,-,25585,-,36878,-,39921,-,45995,-,48186,48784,55001,55729,45812,50220,47308,49312,48702,49280,64194,66643,66734,70372,73132,75151,77629
스위스,-,-,-,-,-,-,-,-,-,22105,-,-,-,26105,-,-,-,25400,-,-,-,25142,-,-,-,35785,-,-,43740,-,46088,-,-
영국,127000,128000,127000,129000,131000,134000,134000,137000,133000,144735,145641,157662,167573,170554,182144,198163,216690,228969,248599,254009,252651,251932,256124,256585,251358,256156,267699,276584,284483,288922,295934,305795,317472
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남아프리카공화국,-,-,7939,-,9946,-,11469,-,9919,-,8533,-,-,-,14182,-,14131,17915,17303,18573,19320,19384,19793,18720,20115,21382,23346,23572,26159,27656,29515,-,-
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,24208,-,-,28776,29866,35029,36730,40012,-,61041,-,62865,-,66001,-,73173,-,81192,-,87201,-,92649,-,100414,-,-,-,-,-,-,-,-,-
뉴질랜드,-,-,-,-,-,-,-,-,4818,-,8264,-,8768,-,10329,-,12363,-,12986,-,14600,-,16100,-,16300,-,17900,-,25000,-,26000,-,-
