말레이시아,6227,405,5934,1470,4937,1492,5062,1578,5442,2347,6286,2508,4800,6749,2372,6983,5303,2242,5737,3468,6383,2160,6452,2353,6940,2460,7205,2660,7620,2705,7727,2877,7236,3324,7072,5063,7295,4287,7551,4106
몽골,-,45,182,176,226,163,253,235,229,165,187,197,213,174,-,-,-,-,143,132,179,96,-,-,-,-,265,212,265,216,237,234,219,157,228,105,161,76,170,177
네팔,-,3,-,7,-,4,-,-,-,1,-,3,-,2,-,1,-,-,-,-,-,-,23,2,17,2,30,1,46,-,82,2,37,-,63,-,-,-,-,-
파키스탄,1195,381,1226,350,1112,422,1127,363,1081,416,1284,393,1738,247,1558,188,1545,233,1212,252,1094,238,953,469,894,312,934,282,922,185,886,131,840,214,698,169,892,265,874,268
필리핀,3636,574,2605,1092,854,1125,1873,1167,2696,1453,2972,1642,3257,1196,3473,1787,3313,838,2997,1679,3393,1153,3196,1135,2994,1111,3285,2207,3589,2159,3734,2200,3419,4006,3395,1645,4300,3435,4380,1458
카타르,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,-,332,-,482,-,-,-,564,-,593,37,-,-,838,15
사우디아라비아,873,8,729,10,613,25,543,25,476,174,493,225,538,1044,770,274,-,205,-,253,931,194,990,252,-,-,931,233,787,561,2406,763,3266,595,3191,501,3399,569,3651,480
싱가포르,8236,5090,8250,7220,8199,7340,7874,4417,8585,5976,8605,7530,9163,7393,9951,7478,9692,6286,8736,5609,9773,4442,9794,5949,9685,5633,9722,5575,10312,5538,10814,7054,10980,7341,10930,6217,11845,5172,14136,4188
스리랑카,321,228,356,180,325,113,284,132,315,188,360,180,423,137,430,91,465,159,402,265,460,504,429,272,539,126,516,236,-,-,481,262,573,123,543,178,603,212,611,175
시리아,295,82,228,74,230,108,249,57,245,56,139,72,257,72,-,58,-,69,-,49,-,-,-,-,-,-,-,-,-,-,198,14,112,32,136,3,148,37,153,58
타지키스탄,52,43,84,33,39,36,31,23,34,21,36,-,26,437,-,-,-,-,12,10,10,3,5,5,6,1,4,2,-,-,1,-,-,-,-,-,-,-,2,1
태국,5049,416,5332,796,4489,1102,5131,1028,5373,716,6340,553,6261,1121,6818,948,6741,966,5857,846,1937,772,3924,900,6746,1008,7404,1149,7930,1286,8167,1364,7820,1838,7865,3080,8149,3818,8172,3121
터키,3433,1147,3212,2128,1838,1794,837,1185,917,979,1146,823,1232,659,2021,628,2397,549,2732,648,3357,-,4113,893,4666,1004,4661,1211,5097,1276,5841,1723,6848,1764,8555,1900,7466,2882,8088,1941
아랍에미리트,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1351,100,1351,40,1426,63,1472,110,1753,177,1574,222,1800,-,1783,451,1904,1278
우즈베키스탄,968,476,1246,485,918,525,1102,158,478,178,444,407,509,272,522,312,448,288,412,235,632,192,556,179,510,175,557,184,568,179,507,153,555,166,553,205,650,219,543,378
베트남,1239,727,1286,783,1211,743,1150,774,1431,698,1947,668,2166,669,2860,725,3199,666,2890,706,3582,822,3560,1006,3805,1068,3995,1182,4447,1397,5033,1388,5228,1423,5382,1745,6071,2219,7520,2620
예멘,29,-,24,-,28,-,29,-,37,-,43,-,48,-,35,-,85,-,72,-,75,-,44,-,85,51,80,62,53,20,30,15,32,-,28,28,-,8,75,13
북아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
캐나다,39622,12125,39716,12019,39741,8910,37228,11551,38201,13077,39888,15516,42038,14972,40131,18550,42089,18703,37477,19497,35449,19120,35111,20762,35242,21819,34741,23833,35481,23749,36964,22201,34745,26424,35022,24099,36161,23499,36488,22009
멕시코,13061,5527,13565,5476,13062,6616,12207,6052,13198,6838,14435,8098,15505,9632,16599,9957,16581,10440,14281,9629,14576,9399,14055,11485,15314,12358,15444,10368,16135,9819,18071,9338,17413,8652,17184,8510,16424,8921,15941,8702
미국,295895,157496,326471,166038,334445,163518,342441,169035,356943,164291,390733,143806,425966,173770,456154,157283,456321,157772,456106,167349,490226,219614,503582,224505,542815,253155,571612,277835,578802,300678,589410,298407,605571,303049,606956,318829,597141,307759,621453,354430
남아메리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앤티가바부다,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,8,-,7,-,7,-,15,-,10,-,12,-,8,-,10,-,-,-
아르헨티나,6636,1587,5779,1233,4861,911,4557,1367,4602,840,5269,1798,5617,2922,5743,2769,5582,1214,4976,1354,4717,1366,4821,1291,4813,932,4772,1297,4682,1360,4125,1559,3809,1879,3443,2302,3667,1525,3702,2177
