국가별,2000년 평균,2005년 평균,2008년 평균,2009년 평균,2010년 평균,2011년 평균,2012년 평균,2013년 평균,2014년 평균,2015년 평균,2016년 평균,2017년 평균,국가 평균
라트비아,-,3435.6666666666665,5697.666666666667,5028.666666666667,5122.333333333333,5784.333333333333,5860.333333333333,6656.666666666667,7392.666666666667,7982.0,7028.0,7275.666666666667,6114.909090909091
리투아니아,-,-,-,-,5468.333333333333,6220.333333333333,6172.666666666667,6443.0,6873.666666666667,6810.0,6594.666666666667,6921.666666666667,6438.041666666666
룩셈부르크,-,-,-,-,-,-,-,-,29321.0,30453.666666666668,29932.666666666668,31501.0,30302.083333333336
네덜란드,8389.666666666666,10236.333333333334,11765.0,12276.333333333334,12347.333333333334,12625.666666666666,12996.666666666666,13694.666666666666,13354.333333333334,13619.0,13961.666666666666,14545.0,12484.305555555557
노르웨이,-,-,-,-,-,-,15675.333333333334,16639.666666666668,16453.666666666668,16222.0,16830.0,17693.333333333332,16585.666666666668
폴란드,2148.6666666666665,3752.6666666666665,5150.666666666667,5534.333333333333,6213.333333333333,6276.666666666667,6837.333333333333,7265.333333333333,7513.0,7823.0,7787.666666666667,8475.666666666666,6231.527777777778
포르투갈,-,-,-,-,-,-,8678.333333333334,9981.0,10148.0,9604.0,9740.333333333334,10425.0,9762.77777777778
슬로바키아,-,-,-,-,-,-,6717.333333333333,7371.333333333333,7952.666666666667,9829.666666666666,7980.0,8401.0,8042.0
슬로베니아,-,-,-,-,-,-,9267.666666666666,9280.666666666666,9285.666666666666,9057.666666666666,9648.0,10406.333333333334,9491.0
스페인,5349.0,7490.666666666667,9934.0,10160.666666666666,9960.333333333334,9839.0,9320.333333333334,9385.0,9369.333333333334,9696.0,10120.333333333334,10580.333333333334,9267.083333333332
스웨덴,-,-,-,-,-,-,15016.666666666666,15377.0,15570.666666666666,15728.666666666666,16181.0,16802.333333333332,15779.388888888889
스위스,-,-,-,-,-,-,19389.0,-,-,-,-,-,19389.0
영국,-,-,-,-,-,-,14678.333333333334,16122.666666666666,15991.666666666666,16291.666666666666,16219.333333333334,17113.333333333332,16069.499999999998
오스트레일리아,7815.333333333333,9339.0,10747.0,12057.666666666666,12371.666666666666,12216.333333333334,11787.666666666666,13054.666666666666,13495.0,14033.0,12623.0,14438.0,11998.194444444445
뉴질랜드,-,-,-,-,-,-,9971.666666666666,10454.333333333334,10946.333333333334,11043.666666666666,11455.666666666666,11906.0,10962.944444444443
