국가별,2000,2000,2000,2000,2000,2000,2003,2003,2003,2003,2003,2003,2006,2006,2006,2006,2006,2006,2009,2009,2009,2009,2009,2009,2012,2012,2012,2012,2012,2012,2015,2015,2015,2015,2015,2015,2018,2018,2018,2018,2018,2018
국가별,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자,수학점수-남자,수학점수-여자,과학점수-남자,과학점수-여자,읽기점수-남자,읽기점수-여자
독일,-,-,-,-,468,502,508,499,-,-,471,513,513,494,519,512,475,517,520,505,523,518,478,518,520,507,524,524,486,530,514,498,514,504,499,520,503,496,502,504,486,512
그리스,-,-,-,-,456,493,455,436,-,-,453,490,462,457,468,479,432,488,473,459,465,475,459,506,457,449,460,473,452,502,454,454,451,459,449,486,452,451,446,457,437,479
헝가리,-,-,-,-,465,496,494,486,-,-,467,498,496,486,507,501,463,503,496,484,503,503,475,513,482,473,496,493,468,508,481,473,478,475,457,482,486,477,484,478,463,489
아이슬란드,-,-,-,-,488,528,508,523,-,-,464,522,503,508,488,494,460,509,508,505,496,495,478,522,490,496,477,480,457,508,487,489,472,475,460,502,490,500,471,479,454,494
아일랜드,-,-,-,-,513,542,510,495,-,-,501,530,507,496,508,509,500,534,491,483,507,509,476,515,509,494,524,520,509,538,512,495,508,497,515,527,503,497,495,497,506,530
이탈리아,-,-,-,-,469,507,475,457,-,-,455,495,470,453,477,474,448,489,490,475,488,490,464,510,494,476,495,492,471,510,500,480,489,472,477,493,494,479,470,466,464,489
라트비아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,481,483,485,496,467,509,500,493,483,491,462,495
리투아니아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480,482,479,485,457,496
룩셈부르크,-,-,-,-,429,456,502,485,-,-,463,496,498,482,491,482,464,495,499,479,487,480,453,492,502,477,499,483,473,503,491,480,487,479,471,492,487,480,475,479,456,485
네덜란드,-,-,-,-,-,-,540,535,-,-,503,524,537,524,528,521,495,519,534,517,524,520,496,521,528,518,524,520,498,525,513,511,511,507,491,515,520,519,499,508,470,499
노르웨이,-,-,-,-,486,529,498,492,-,-,475,525,493,487,484,489,462,508,500,495,498,502,480,527,490,488,493,496,481,528,501,503,500,497,494,533,497,505,485,496,476,523
폴란드,-,-,-,-,461,497,493,487,-,-,477,516,500,491,500,496,487,528,497,493,505,511,476,525,520,516,524,527,497,539,510,499,504,498,491,521,516,515,511,511,495,528
포르투갈,-,-,-,-,458,482,472,460,-,-,459,495,474,459,477,472,455,488,493,481,491,495,470,508,493,481,488,490,468,508,497,487,506,496,490,507,497,488,494,489,480,504
