국가별,2000,2000,2000,2005,2005,2005,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018
국가별,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육,초등교육,중등교육,고등교육
헝가리,671,-,6199,1261,-,5522,-,-,-,-,-,-,-,-,-,-,-,-,4450,4500,9039,5498,4286,10374,3772,6075,8647,5122,5907,8817,5560,7314,11507,5491,6867,12878,-,-,-
아이슬란드,6392,-,9236,8961,-,9665,10089,-,10798,9764,-,10420,8804,-,8943,9216,-,8511,9906,8618,10898,10412,9139,11200,11146,10063,11418,11238,11172,12697,11912,11731,14743,13333,13122,16270,-,-,-
아일랜드,3993,-,11248,6481,-,10582,-,-,-,-,-,-,9749,-,-,9848,-,16259,8730,11399,15622,8128,10930,12993,7977,10626,13702,7473,10238,16543,7667,10174,16788,8215,9445,16794,-,-,-
이탈리아,6411,-,6987,7103,-,7274,8545,-,9588,8493,-,9784,8169,-,10062,7993,-,10676,7741,8759,10669,8083,8936,11303,8144,8789,11439,8474,9131,11321,8142,9366,11808,9160,10574,12226,-,-,-
라트비아,-,1969,2875,3006,3031,4270,5399,5352,6342,5090,5046,4950,4761,4749,5857,4931,4968,7454,5007,5163,7411,6016,5903,8051,6577,6627,8974,6730,6991,10225,6584,6899,7601,6379,7102,8346,-,-,-
리투아니아,-,-,-,-,-,4502,-,-,5991,-,-,5931,4779,4455,7171,4881,4648,9132,4905,4649,8964,5176,5006,9147,5289,5283,10049,5523,5209,9698,6170,5763,7851,6340,5997,8428,-,-,-
룩셈부르크,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19824,20392,-,17942,19704,-,20608,21554,45801,21158,20673,49530,18324,21956,49518,19690,22724,52089,-,-,-
네덜란드,4524,7081,13564,6364,8934,15411,7327,10676,17292,7708,11499,17622,7738,11691,17613,7857,11873,18147,8069,12163,18758,8675,12821,19588,8394,12435,19234,8528,12927,19402,8768,13245,19872,9301,13889,20445,-,-,-
노르웨이,7808,-,12953,9793,-,-,11861,-,18613,12648,-,19056,12942,-,18868,13102,-,18973,12603,14371,20052,13370,15370,21179,13151,15201,21009,13012,15096,20558,12878,15166,22446,13906,15735,23439,-,-,-
폴란드,3047,1297,2102,3412,3072,4774,4877,4444,6131,5236,4816,6551,5996,5426,7218,6119,5718,6993,6580,6201,7731,6933,6440,8423,7039,6707,8793,6821,6870,9778,6943,7265,9155,7806,7577,10044,-,-,-
포르투갈,4351,-,4914,5620,-,9636,5985,-,9602,6821,-,9620,-,-,10267,-,-,9493,6437,9800,9798,7768,11081,11094,7909,10747,11788,7418,9567,11827,7828,10180,11213,8766,10721,11788,-,-,-
러시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7102,4470,-,7424,-,5224,8174,-,5391,8748,-,5001,8919,-,4366,8169,-,4276,8537,-,5382,8629,-,-,-
슬로바키아,1652,-,4810,2770,-,5846,3995,-,6541,4764,-,6735,5281,-,7196,5126,-,8211,5570,5300,9282,6019,5870,10225,6203,6421,11234,6896,6677,15916,6659,6302,10979,6836,6652,11715,-,-,-
슬로베니아,-,-,-,-,-,-,-,-,-,-,-,-,3920,-,8988,4028,-,9864,9345,8443,10015,9316,8661,9865,9266,8554,10037,8584,8331,10258,8797,8660,11487,9062,9370,12787,-,-,-
스페인,3979,5212,6856,5415,7133,9924,7019,9707,13076,7297,9918,13267,7185,9495,13201,7161,9331,13025,7011,8867,12083,6968,8488,12699,7052,8532,12524,7357,9064,12667,7805,9691,12865,8161,10134,13446,-,-,-
스웨덴,6638,-,15793,7672,-,15550,9552,-,20305,9750,-,20775,10104,-,20650,10519,-,21084,10513,11395,23142,10807,11507,23817,10832,11371,24509,10973,11527,24686,11569,12135,24839,12189,12634,25584,-,-,-
스위스,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15447,17872,24848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
영국,-,-,-,7698,-,-,8432,-,-,8919,-,-,9430,-,-,9629,-,-,9924,9999,24112,10615,12139,25614,11277,12352,24346,11715,10647,26513,11350,11122,26186,11604,11592,28144,-,-,-
아프리카,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오세아니아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오스트레일리아,4550,6391,12505,6004,7841,14172,7104,9369,15768,8589,10982,16602,9383,11422,16310,9099,11168,16382,8591,10769,16003,9242,11669,18253,9258,11733,19494,9525,12275,20299,10023,11661,16185,10238,12640,20436,-,-,-
뉴질랜드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6998,9314,13603,7177,9952,14234,7449,10281,15109,7786,10300,15045,8454,10678,15235,8533,11117,16068,-,-,-
