국가별,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,국가 평균
아일랜드,8516,8949,9376,10039,11010,11587,12172,12695,14502,14189,14176,15269,22368,23707,24543,24521,24316,25673,25265,25892,16938.25
이탈리아,66110,66702,71242,70332,72012,82489,88430,93000,95766,101840,103424,106151,110695,116163,118183,125875,133706,140378,152523,160623,103782.2
라트비아,3814,3497,3451,3203,3324,3282,3935,4157,4370,3621,3896,3947,3904,3625,3748,3613,3152,3482,3456,3632,3655.45
리투아니아,7777,8075,6326,6606,7356,7637,7980,8467,8433,8490,8599,8390,8023,8557,9075,8167,8525,8741,8938,9584,8187.3
룩셈부르크,1646,-,-,1949,2031,2227,2054,2201,2288,2396,2613,2831,2310,2503,2629,2610,2767,2936,2863,3158,2445.1111111111113
네덜란드,42194,45599,43875,43805,48402,47854,53150,51057,50727,46958,53703,61335,73235,82797,83710,83488,87612,91023,95475,99096,64254.75
노르웨이,-,19685,-,20547,20662,21200,22580,24351,25578,26273,26451,27228,27841,28312,29237,30632,31913,33632,34337,35897,27019.777777777777
폴란드,55174,56148,56725,58595,60944,62162,59573,61395,61805,61105,64511,64133,67001,71472,78622,82594,88165,114585,117789,120780,73163.9
포르투갈,16738,17725,18984,20242,20684,21126,24651,28176,40408,39834,41523,44056,42498,37813,38155,38672,41349,44938,47652,50166,33769.5
루마니아,20476,19726,20286,20965,21257,22958,19021,18808,19394,19271,19780,16080,18016,18576,18109,17459,18046,17518,17213,17350,19015.45
러시아,506420,505778,491944,487477,477647,464577,464357,469076,451213,442263,442071,447579,443269,440581,444865,449180,428884,410617,405772,400663,453711.65
슬로바키아,9955,9585,9181,9627,10718,10921,11776,12354,12587,13290,15183,15326,15271,14727,14742,14406,14149,15226,16337,16977,13116.9
슬로베니아,4336,4498,4642,3775,4030,5253,5857,6250,7032,7446,7703,8774,8884,8707,8574,7900,8119,9301,10068,10502,7082.55
스페인,76670,80081,83318,92523,100994,109720,115798,122624,130986,133803,134653,130235,126778,123225,122235,122437,126633,133213,140120,143974,117501.0
스웨덴,-,45995,-,48186,48784,55001,55729,45812,50220,47308,49312,48702,49280,64194,66643,66734,70372,73132,75151,77629,57676.88888888889
스위스,26105,-,-,-,25400,-,-,-,25142,-,-,-,35785,-,-,43740,-,46088,-,-,33710.0
영국,170554,182144,198163,216690,228969,248599,254009,252651,251932,256124,256585,251358,256156,267699,276584,284483,288922,295934,305795,317472,253041.15
남아프리카공화국,-,14182,-,14131,17915,17303,18573,19320,19384,19793,18720,20115,21382,23346,23572,26159,27656,29515,-,-,20691.625
오스트레일리아,66001,-,73173,-,81192,-,87201,-,92649,-,100414,-,-,-,-,-,-,-,-,-,83438.33333333333
뉴질랜드,-,10329,-,12363,-,12986,-,14600,-,16100,-,16300,-,17900,-,25000,-,26000,-,-,16842.0
